KapCen,3.923332825,-0.7348559065,3.13,B2IV
9IotUMa,2.3527648266,0.8384971802,3.14,A7IV
40AlpLyn,2.4480758049,0.6002628154,3.14,M0IIIvar
65DelHer,4.5161793687,0.4335325848,3.14,A3IVvSB
67PiHer,4.5162470072,0.6424409543,3.16,K3IIvar
NuPup,1.7355606197,-0.7539110962,3.17,B8IIISB
25TheUMa,2.4996260286,0.9019617591,3.17,F6IV
22ZetDra,4.4889304794,1.1469367782,3.17,B6III
27PhiSgr,4.9116003498,-0.4710779682,3.17,B8.5III
10EtaAur,1.3374217368,0.7196802468,3.18,B3V
1Pi3Ori,1.2646465388,0.1214966879,3.19,F6V
2EpsLep,1.3328244715,-0.3904451064,3.19,K4III
AlpCir,3.8506824791,-1.1340201691,3.19,F1Vp
27KapOph,4.4404281818,0.1636255993,3.19,K2IIIvar
64ZetCyg,5.5542326574,0.5275620916,3.21,G8IISB
35GamCep,6.1930813773,1.3549334256,3.21,K1IV
DelLup,4.0202449501,-0.7094320001,3.22,B1.5IV
8BetCep,5.6228381687,1.2315164469,3.23,B2IIIvSB
2EpsOph,4.2687292498,-0.0819014617,3.24,G8III
65TheAql,5.2853125618,-0.0143374555,3.24,B9.5III
SigPup,1.9601413447,-0.7557605754,3.25,K5IIISB
20SigLib,3.9447540416,-0.4412516286,3.25,M3/M4III
14GamLyr,4.9695795758,0.5705403329,3.25,B9III
GamHyi,0.991509295,-1.295719216,3.26,M2III
58EtaSer,4.8053947078,-0.0505643177,3.26,K0III-IV
31DelAnd,0.171594762,0.5386300012,3.27,K3III...
AlpPic,1.7810748386,-1.0810914941,3.27,A7IV
49PiHya,3.6929908119,-0.4656890797,3.27,K2III
42TheOph,4.5466251767,-0.4363233764,3.27,B2IV
76DelAqr,5.9980449934,-0.2761243511,3.27,A3V
5MuLep,1.3654200216,-0.2828380929,3.29,B9IV:HgMn
OmeCar,2.6779371309,-1.2223923347,3.29,B8III
12IotDra,4.0357673055,1.0291512576,3.29,K2III
AlpDor,1.1955300605,-0.9607165843,3.3,A0V:
69DelUMa,3.2088932102,0.9954066147,3.3,A3Vvar
7EtaGem,1.6357150613,0.3928181788,3.31,M3III
GamAra,4.5613932618,-0.9839762845,3.31,B1Ib
BetPhe,0.2883506812,-0.8153914794,3.32,G8IIIvar
25RhoPer,0.8079781407,0.6778951837,3.32,M3IIIvar
64NuOph,4.7081418351,-0.1705771317,3.32,K0III
40TauSgr,5.0044729051,-0.4829293605,3.32,K1/K2III
AlpRet,1.1101334774,-1.0903766283,3.33,G7III
70TheLeo,2.9419299603,0.2693001689,3.33,A2V
EtaSco,4.5036167601,-0.7546540209,3.33,F3p
7XiPup,2.0476827272,-0.4338850823,3.34,G6Ia
45EpsCas,0.4991411443,1.1112536979,3.35,B2pvar
28EtaOri,1.4157977846,-0.0418379584,3.35,B1V+B2
1OmiUMa,2.2264605418,1.0597365393,3.35,G4II-III
31XiGem,1.7684136704,0.2250786225,3.36,F5IV
30DelAql,5.0854351198,0.0543596624,3.36,F0IV
79ZetVir,3.5547815167,-0.0104010839,3.37,A3V
EpsLup,4.0259573499,-0.7799801926,3.37,B2IV-V
11EpsHya,2.2985001752,0.11203106,3.38,G0III-IV
39LamOri,1.4623152187,0.1733838517,3.39,O...
43DelVir,3.3842285644,0.0592992826,3.39,M3III
21ZetCep,5.8069476326,1.0158034399,3.39,K1IbvSB
78The2Tau,1.1722558384,0.2770002771,3.4,A7III
GamPhe,0.3855680774,-0.7560369966,3.41,K5II-III
35LamTau,1.0501661102,0.217998181,3.41,B3V+A
NuCen,3.6193981636,-0.7275869194,3.41,B2IV
ZetLup,3.9806017422,-0.9093003899,3.41,G8III
42ZetPeg,5.9404953487,0.1890434374,3.41,B8.5V
2AlpTri,0.4934118375,0.5162578731,3.42,F6IV
EtaLup,4.189324019,-0.6701478035,3.42,B2.5IV
86MuHer,4.6533182316,0.4838488874,3.42,G5IV
BetPav,5.4321595403,-1.1554644831,3.42,A5IV
36ZetLeo,2.6908180561,0.4087094826,3.43,F0III
16LamAql,5.0014554944,-0.0852128133,3.43,B9Vn
3EtaCep,5.4335931066,1.0792556549,3.43,K0IV
24EtaCas,0.2141737595,1.0090891195,3.45,G0VSB
31EtaCet,0.2992704174,-0.1777081678,3.45,K2III
33LamUMa,2.692601389,0.7489987729,3.45,A2IV
ChiCar,2.0803409651,-0.9247173364,3.46,B3IVp
29GamVir,3.3233979373,-0.0252989369,3.46,F0V+...
49DelBoo,3.9946298723,0.5814582244,3.46,G8III
MuCen,3.6198861602,-0.7413056498,3.47,B2IV-Ve
30EtaLeo,2.6499881953,0.2925637082,3.48,A0Ib
44EtaHer,4.3759577526,0.679325098,3.48,G8III-IV
EpsGru,5.9714402039,-0.895645438,3.48,A3V
48MuPeg,5.9777599836,0.4293804023,3.48,M2III
52TauCet,0.4541584829,-0.278197733,3.49,G8V
22SigCMa,1.8400971179,-0.4875549628,3.49,K4III
54NuUMa,2.9604242283,0.5776034307,3.49,K3IIISB
42BetBoo,3.9354842515,0.7049495976,3.49,G8III
AlpTel,4.8300845499,-0.802298696,3.49,B3IV
13KapCMa,1.788269112,-0.5673801421,3.5,B1.5IVne
32IotCep,5.9763645797,1.1554203722,3.5,K0III
12GamSge,5.2305617909,0.3402011987,3.51,K5III
14OmiLeo,2.5357538074,0.1726549338,3.52,A5V+...
PhiVel,2.6043043042,-0.9523877284,3.52,B5Ib
10BetLyr,4.9309037585,0.5822885763,3.52,A8:VcompSB
37Xi2Sgr,4.964282149,-0.3683800885,3.52,G8/K0II/III
29GamVir,3.3234619781,-0.0252955828,3.52,F0V
23DelEri,0.9741086939,-0.1704348691,3.53,K0IV
74EpsTau,1.1720564625,0.3347632423,3.53,K0III
55DelGem,1.9203995431,0.3836642,3.53,F0IV...
17BetCnc,2.166458892,0.1603200625,3.53,K4III
26ThePeg,5.8040793192,0.1081718244,3.53,A2V
XiHya,3.0238017655,-0.5560186862,3.54,G8III
32MuSer,4.1435036885,-0.0598672564,3.54,A0V
55XiSer,4.6145941987,-0.2687529253,3.54,F0IIIp
41Ups4Eri,1.1252732941,-0.5898921655,3.55,B9V
14ZetLep,1.5138803938,-0.2586917797,3.55,A2Vann
IotLup,3.7498568224,-0.8038652114,3.55,B2.5IV
8IotCet,0.0847708617,-0.1540048771,3.56,K2III
PhiEri,0.5956299869,-0.8990559495,3.56,B8IV-V
86GamCet,0.7125397236,0.0564818499,3.56,A3V
12DelCrt,2.9641888538,-0.2579429708,3.56,K0III
Mu2Sco,4.4171486111,-0.6635301611,3.56,B2IV
DelPav,5.2739384937,-1.1550470484,3.56,G5IV-Vvar
77KapGem,2.0265358686,0.4258276874,3.57,G8III
12KapUMa,2.37201581,0.8230389697,3.57,A1Vn
25RhoBoo,3.8040802089,0.5300764773,3.57,K3III
Phi1Lup,4.0221430009,-0.6328767598,3.57,K5III
44ChiDra,4.8041888598,1.2694425008,3.57,F7Vvar
13GamLep,1.5030175544,-0.3917825505,3.58,F7V
54LamGem,1.9115432678,0.2886857531,3.58,A3V...
6Alp2Cap,5.3147616236,-0.2189490897,3.58,G6/G8III
51And,0.4275694773,0.8487271981,3.59,K3III
20TauOri,1.3858204378,-0.1194570738,3.59,B5III
